Log_ID,User_ID,Action,Lead_ID,Timestamp,Details
log_1776509419904,system,EMAIL_CHECK,,4/18/2026 16:20:20,Processed 0 email responses
log_1776513033291,system,EMAIL_CHECK,,4/18/2026 17:20:33,Processed 0 email responses
log_1776516621896,system,EMAIL_CHECK,,4/18/2026 18:20:22,Processed 0 email responses
log_1776520197875,system,EMAIL_CHECK,,4/18/2026 19:19:58,Processed 0 email responses
log_1776523846368,system,EMAIL_CHECK,,4/18/2026 20:20:46,Processed 0 email responses
log_1776525063064,user_001,GET_LEADS,,4/18/2026 20:41:03,Retrieved 0 leads (Role: employee)
log_1776525353235,user_002,GET_LEADS,,4/18/2026 20:45:53,Retrieved 0 leads (Role: team_leader)
log_1776525791668,system,EMAIL_CHECK,,4/18/2026 20:53:12,Processed 0 email responses
log_1776526017330,system,EMAIL_CHECK,,4/18/2026 20:56:57,Processed 0 email responses
log_1776526707322,system,EMAIL_SENT,,4/18/2026 21:08:27,"Sent to 1si22ci057@sit.ac.in, ID: email_test_001"
log_1776527426609,system,EMAIL_CHECK,,4/18/2026 21:20:27,Processed 0 email responses
log_1776527565406,system,EMAIL_CHECK,,4/18/2026 21:22:45,Processed 0 email responses
log_1776527945217,system,EMAIL_RESPONSE_RECEIVED,lead_001,4/18/2026 21:28:04,Email reply from 1si22ci057@sit.ac.in
log_1776527947939,system,EMAIL_CHECK,,4/18/2026 21:29:08,Processed 1 email responses
log_1776531048492,system,EMAIL_CHECK,,4/18/2026 22:20:48,Processed 0 email responses
log_1776533706875,system,EMAIL_CHECK,,4/18/2026 23:05:07,Processed 0 email responses
log_1776534610365,system,EMAIL_CHECK,,4/18/2026 23:20:10,Processed 0 email responses
log_1776538194645,system,EMAIL_CHECK,,4/19/2026 0:19:55,Processed 0 email responses
log_1776541861719,system,EMAIL_CHECK,,4/19/2026 1:21:02,Processed 0 email responses
log_1776545443196,system,EMAIL_CHECK,,4/19/2026 2:20:43,Processed 0 email responses
log_1776549009998,system,EMAIL_CHECK,,4/19/2026 3:20:10,Processed 0 email responses
log_1776552618385,system,EMAIL_CHECK,,4/19/2026 4:20:18,Processed 0 email responses
log_1776556197721,system,EMAIL_CHECK,,4/19/2026 5:19:58,Processed 0 email responses
log_1776559801433,system,EMAIL_CHECK,,4/19/2026 6:20:01,Processed 0 email responses
log_1776563400594,system,EMAIL_CHECK,,4/19/2026 7:20:01,Processed 0 email responses
log_1776567069314,system,EMAIL_CHECK,,4/19/2026 8:21:09,Processed 0 email responses
log_1776570608691,system,EMAIL_CHECK,,4/19/2026 9:20:09,Processed 0 email responses
log_1776574235538,system,EMAIL_CHECK,,4/19/2026 10:20:36,Processed 0 email responses
log_1776577817770,system,EMAIL_CHECK,,4/19/2026 11:20:18,Processed 0 email responses
log_1776581402059,system,EMAIL_CHECK,,4/19/2026 12:20:02,Processed 0 email responses
log_1776585046662,system,EMAIL_CHECK,,4/19/2026 13:20:47,Processed 0 email responses
log_1776588605794,system,EMAIL_CHECK,,4/19/2026 14:20:06,Processed 0 email responses
log_1776592198254,system,EMAIL_CHECK,,4/19/2026 15:19:58,Processed 0 email responses
log_1776595813544,system,EMAIL_CHECK,,4/19/2026 16:20:14,Processed 0 email responses
log_1776599436689,system,EMAIL_CHECK,,4/19/2026 17:20:37,Processed 0 email responses
log_1776603023335,system,EMAIL_CHECK,,4/19/2026 18:20:23,Processed 0 email responses
log_1776606601536,system,EMAIL_CHECK,,4/19/2026 19:20:02,Processed 0 email responses
log_1776610239599,system,EMAIL_CHECK,,4/19/2026 20:20:40,Processed 0 email responses
log_1776613808854,system,EMAIL_CHECK,,4/19/2026 21:20:09,Processed 0 email responses
log_1776617418744,system,EMAIL_CHECK,,4/19/2026 22:20:19,Processed 0 email responses
log_1776621068165,system,EMAIL_CHECK,,4/19/2026 23:21:08,Processed 0 email responses
log_1776624599189,system,EMAIL_CHECK,,4/20/2026 0:19:59,Processed 0 email responses
log_1776628201834,system,EMAIL_CHECK,,4/20/2026 1:20:02,Processed 0 email responses
log_1776631808606,system,EMAIL_CHECK,,4/20/2026 2:20:09,Processed 0 email responses
log_1776635394857,system,EMAIL_CHECK,,4/20/2026 3:19:55,Processed 0 email responses
log_1776638997136,system,EMAIL_CHECK,,4/20/2026 4:19:57,Processed 0 email responses
log_1776642607108,system,EMAIL_CHECK,,4/20/2026 5:20:07,Processed 0 email responses
log_1776646199442,system,EMAIL_CHECK,,4/20/2026 6:19:59,Processed 0 email responses
log_1776649800474,system,EMAIL_CHECK,,4/20/2026 7:20:00,Processed 0 email responses
log_1776653415724,system,EMAIL_CHECK,,4/20/2026 8:20:16,Processed 0 email responses
log_1776657034481,system,EMAIL_CHECK,,4/20/2026 9:20:34,Processed 0 email responses
log_1776660644944,system,EMAIL_CHECK,,4/20/2026 10:20:45,Processed 0 email responses
log_1776664230507,system,EMAIL_CHECK,,4/20/2026 11:20:31,Processed 0 email responses
log_1776667799893,system,EMAIL_CHECK,,4/20/2026 12:20:00,Processed 0 email responses
log_1776671400995,system,EMAIL_CHECK,,4/20/2026 13:20:01,Processed 0 email responses
log_1776675091962,system,EMAIL_CHECK,,4/20/2026 14:21:32,Processed 0 email responses
log_1776678655169,system,EMAIL_CHECK,,4/20/2026 15:20:55,Processed 0 email responses
log_1776682228182,system,EMAIL_CHECK,,4/20/2026 16:20:28,Processed 0 email responses
log_1776685808917,system,EMAIL_CHECK,,4/20/2026 17:20:09,Processed 0 email responses
log_1776689425829,system,EMAIL_CHECK,,4/20/2026 18:20:26,Processed 0 email responses
log_1776693060554,system,EMAIL_CHECK,,4/20/2026 19:21:01,Processed 0 email responses
log_1776696648405,system,EMAIL_CHECK,,4/20/2026 20:20:48,Processed 0 email responses
log_1776700225934,system,EMAIL_CHECK,,4/20/2026 21:20:26,Processed 0 email responses
log_1776701326445,user_bzd4a3dj1,CSV_IMPORT,,4/20/2026 21:38:46,Imported 2 leads
log_1776703841515,system,EMAIL_CHECK,,4/20/2026 22:20:42,Processed 0 email responses
log_1776707430413,system,EMAIL_CHECK,,4/20/2026 23:20:30,Processed 0 email responses
log_1776711040008,system,EMAIL_CHECK,,4/21/2026 0:20:40,Processed 0 email responses
log_1776714601947,system,EMAIL_CHECK,,4/21/2026 1:20:02,Processed 0 email responses
log_1776718229953,system,EMAIL_CHECK,,4/21/2026 2:20:30,Processed 0 email responses
log_1776721833391,system,EMAIL_CHECK,,4/21/2026 3:20:33,Processed 0 email responses
log_1776725408412,system,EMAIL_CHECK,,4/21/2026 4:20:08,Processed 0 email responses
log_1776729014627,system,EMAIL_CHECK,,4/21/2026 5:20:15,Processed 0 email responses
log_1776732625329,system,EMAIL_CHECK,,4/21/2026 6:20:25,Processed 0 email responses
log_1776736237597,system,EMAIL_CHECK,,4/21/2026 7:20:38,Processed 0 email responses
log_1776739823101,system,EMAIL_CHECK,,4/21/2026 8:20:23,Processed 0 email responses
log_1776743409211,system,EMAIL_CHECK,,4/21/2026 9:20:09,Processed 0 email responses
log_1776747000410,system,EMAIL_CHECK,,4/21/2026 10:20:00,Processed 0 email responses
log_1776750618009,system,EMAIL_CHECK,,4/21/2026 11:20:18,Processed 0 email responses
log_1776754253079,system,EMAIL_CHECK,,4/21/2026 12:20:53,Processed 0 email responses
log_1776757849860,system,EMAIL_CHECK,,4/21/2026 13:20:50,Processed 0 email responses
log_1776761419158,system,EMAIL_CHECK,,4/21/2026 14:20:19,Processed 0 email responses
log_1776765040805,system,EMAIL_CHECK,,4/21/2026 15:20:41,Processed 0 email responses
log_1776768613952,system,EMAIL_CHECK,,4/21/2026 16:20:14,Processed 0 email responses
log_1776772238406,system,EMAIL_CHECK,,4/21/2026 17:20:38,Processed 0 email responses
log_1776775844674,system,EMAIL_CHECK,,4/21/2026 18:20:45,Processed 0 email responses
log_1776779423701,system,EMAIL_CHECK,,4/21/2026 19:20:24,Processed 0 email responses
log_1776783050557,system,EMAIL_CHECK,,4/21/2026 20:20:51,Processed 0 email responses
log_1776786640741,system,EMAIL_CHECK,,4/21/2026 21:20:41,Processed 0 email responses
log_1776790229005,system,EMAIL_CHECK,,4/21/2026 22:20:29,Processed 0 email responses
log_1776793819637,system,EMAIL_CHECK,,4/21/2026 23:20:20,Processed 0 email responses
log_1776797401391,system,EMAIL_CHECK,,4/22/2026 0:20:01,Processed 0 email responses
log_1776801023151,system,EMAIL_CHECK,,4/22/2026 1:20:23,Processed 0 email responses
log_1776804636571,system,EMAIL_CHECK,,4/22/2026 2:20:37,Processed 0 email responses
log_1776808200014,system,EMAIL_CHECK,,4/22/2026 3:20:00,Processed 0 email responses
log_1776811827965,system,EMAIL_CHECK,,4/22/2026 4:20:28,Processed 0 email responses
log_1776815423021,system,EMAIL_CHECK,,4/22/2026 5:20:23,Processed 0 email responses
log_1776819033652,system,EMAIL_CHECK,,4/22/2026 6:20:34,Processed 0 email responses
log_1776822668696,system,EMAIL_CHECK,,4/22/2026 7:21:09,Processed 0 email responses
log_1776826255245,system,EMAIL_CHECK,,4/22/2026 8:20:55,Processed 0 email responses
log_1776829804610,system,EMAIL_CHECK,,4/22/2026 9:20:05,Processed 0 email responses
